24

10 30
8 5
2 85 e
44 67 e
46 5 e
31 62 e
95 40 e
55 65 e
90 45 e
75 2 e
45 42 e
78 60 e
40 54 e
38 2 e
95 27 e
52 11 e
33 9 e
50 47 e
94 60 e
55 92 e
42 87 e
63 1 e
61 79 e
28 38 e
59 95 e
58 48 e
94 23 e
15 21 e
94 3 e
49 81 e
40 71 e
19 24 e
22 53 e
53 1 e
85 82 e
4 92 e
91 51 e
54 26 e
6 86 e
91 64 e
80 52 e
12 15 e
68 58 e
36 11 e
87 92 e
55 56 e
80 91 e
5 84 e
24 82 e
93 50 e
73 47 e
33 54 e
4 87 e
49 83 e
63 99 e
21 22 e
53 99 e
79 52 e
64 65 e
76 78 e
43 36 e
26 14 e
11 91 e
97 77 e
60 46 e
93 97 e
70 17 e
80 16 e
63 72 e
43 79 e
19 85 e
51 45 e
7 59 e
51 92 e
73 0 e
70 48 e
69 10 e
30 5 e
4 55 e
81 83 e
85 95 e
70 22 e
87 64 e

200 300
151 14
129 67 s
87 18 s
122 114 s
53 196 s
190 140 s
91 158 s
118 142 s
34 89 s
1 9 s
140 166 s
24 65 s
49 35 s
170 153 s
198 87 s
32 42 s
111 31 s
184 152 s
57 162 s
150 24 s
176 99 s
81 43 s
128 2 s
167 111 s
97 186 s
44 145 s
15 86 s
80 145 s
163 195 s
187 189 s
40 39 s
12 50 s
134 173 s
84 94 s
170 184 s
165 37 s
38 58 s
77 28 s
142 180 s
67 69 s
26 117 s
183 107 s
181 22 s
149 68 s
9 115 s
131 22 s
23 121 s
49 81 s
133 97 s
16 47 s
82 55 s
153 184 s
27 163 s
108 30 s
26 175 s
119 130 s
153 182 s
160 168 s
161 4 s
8 113 s
194 161 s
161 45 s
29 188 s
104 180 s
17 63 s
166 84 s
148 15 s
99 98 s
56 50 s
150 72 s
156 144 s
145 26 s
25 16 s
10 197 s
37 192 s
171 128 s
113 11 s
61 127 s
38 78 s
162 124 s
85 71 s
185 45 s
196 164 s
4 160 s
65 49 s
183 179 s
185 75 s
21 193 s
128 190 s
1 176 s
15 100 s
32 191 s
192 41 s
169 80 s
167 172 s
66 51 s
132 57 s
133 83 s
97 156 s
154 159 s
71 84 s
75 90 s
89 60 s
198 159 s
54 53 s
36 122 s
56 79 s
41 102 s
119 8 s
39 93 s
70 78 s
166 194 s
173 68 s
124 6 s
43 35 s
55 97 s
151 171 s
79 91 s
190 85 s
100 21 s
152 131 s
188 8 s
23 135 s
153 131 s
90 79 s
66 30 s
161 160 s
30 146 s
68 82 s
179 87 s
146 51 s
199 193 s
85 166 s
175 120 s
82 133 s
96 126 s
136 178 s
115 176 s
68 66 s
22 92 s
132 130 s
105 139 s
70 38 s
171 2 s
168 12 s
118 120 s
193 136 s
88 169 s
169 74 s
103 170 s
47 48 s
185 46 s
51 141 s
101 111 s
192 52 s
73 183 s
28 23 s
64 147 s
62 106 s
9 176 s
61 149 s
58 88 s
104 177 s
119 162 s
145 74 s
4 116 s
189 43 s
49 189 s
93 96 s
97 70 s
95 32 s
79 158 s
80 74 s
187 81 s
46 160 s
113 16 s
124 54 s
182 152 s
2 85 s
6 62 s
177 188 s
146 55 s
112 180 s
82 141 s
72 65 s
100 136 s
31 103 s
56 34 s
1 58 s
88 20 s
158 27 s
112 104 s
60 155 s
147 134 s
62 48 s
146 174 s
110 0 s
19 80 s
0 24 s
182 36 s
107 87 s
189 81 s
127 149 s
29 177 s
58 5 s
71 76 s
61 108 s
138 99 s
112 177 s
69 61 s
102 172 s
191 42 s
191 7 s
69 68 s
180 188 s
195 15 s
24 187 s
95 39 s
53 165 s
105 62 s
67 127 s
11 105 s
83 186 s
156 1 s
84 125 s
4 46 s
86 199 s
107 198 s
110 3 s
178 95 s
101 167 s
81 14 s
92 198 s
145 13 s
38 1 s
37 101 s
92 154 s
110 123 s
143 112 s
194 76 s
130 57 s
37 164 s
103 153 s
118 143 s
118 33 s
147 96 s
183 114 s
171 190 s
95 64 s
21 157 s
91 89 s
180 132 s
125 161 s
169 44 s
3 150 s
50 77 s
132 119 s
197 40 s
78 138 s
17 3 s
178 40 s
163 148 s
114 107 s
98 19 s
75 59 s
60 195 s
40 64 s
5 176 s
88 109 s
113 25 s
7 134 s
148 86 s
92 179 s
73 181 s
77 163 s
3 72 s
168 56 s
110 150 s
161 185 s
36 73 s
142 29 s
96 129 s
155 137 s
17 110 s
150 187 s
177 132 s
74 118 s
114 92 s
18 63 s
18 110 s
15 135 s
30 82 s
45 75 s
63 110 s
159 17 s
76 4 s
111 103 s
40 191 s
100 10 s
108 66 s
52 41 s

300 300
89 81
214 272 w
15 182 w
110 135 w
207 213 w
87 81 w
94 9 w
231 164 w
285 176 w
229 64 w
143 7 w
46 225 w
188 24 w
260 128 w
71 191 w
174 181 w
54 115 w
215 183 w
134 111 w
147 60 w
165 276 w
176 21 w
218 90 w
46 44 w
168 120 w
219 134 w
116 100 w
34 136 w
44 34 w
186 190 w
271 185 w
117 106 w
188 170 w
196 15 w
16 151 w
227 52 w
264 280 w
52 263 w
27 25 w
274 275 w
121 41 w
111 101 w
231 253 w
185 50 w
61 172 w
161 116 w
125 199 w
106 168 w
206 285 w
114 243 w
44 153 w
254 284 w
291 142 w
163 259 w
65 76 w
99 141 w
66 264 w
183 288 w
91 125 w
255 246 w
146 110 w
24 187 w
262 56 w
233 114 w
277 65 w
213 200 w
50 180 w
217 293 w
175 242 w
170 208 w
21 238 w
109 266 w
115 256 w
242 22 w
217 290 w
145 96 w
167 132 w
35 93 w
6 277 w
208 265 w
243 197 w
213 137 w
49 249 w
153 119 w
40 108 w
106 140 w
91 248 w
93 233 w
216 298 w
297 267 w
134 175 w
235 218 w
203 188 w
77 45 w
227 118 w
66 271 w
221 145 w
192 62 w
93 69 w
168 167 w
89 17 w
12 203 w
77 16 w
9 148 w
42 269 w
93 138 w
39 274 w
30 219 w
15 13 w
45 155 w
143 177 w
113 279 w
92 46 w
61 26 w
296 47 w
1 147 w
220 193 w
148 61 w
172 72 w
32 250 w
155 292 w
85 214 w
234 1 w
25 195 w
181 217 w
206 186 w
275 296 w
151 291 w
263 25 w
91 4 w
170 51 w
249 91 w
70 216 w
141 113 w
100 82 w
217 70 w
244 289 w
67 254 w
150 57 w
58 48 w
67 94 w
215 244 w
255 227 w
41 255 w
147 270 w
210 83 w
100 229 w
158 78 w
232 92 w
42 235 w
14 226 w
54 105 w
222 103 w
290 221 w
56 97 w
196 126 w
45 149 w
291 179 w
239 18 w
207 2 w
224 240 w
3 231 w
24 281 w
80 228 w
208 80 w
7 104 w
69 39 w
256 19 w
190 33 w
53 278 w
180 173 w
143 223 w
221 121 w
48 260 w
208 294 w
177 206 w
234 245 w
245 139 w
65 143 w
266 5 w
85 71 w
43 144 w
47 222 w
58 84 w
111 20 w
176 58 w
197 37 w
128 53 w
113 202 w
228 75 w
236 150 w
34 107 w
253 174 w
167 30 w
226 210 w
156 73 w
261 10 w
247 161 w
111 146 w
207 230 w
286 95 w
188 123 w
130 59 w
34 196 w
165 287 w
236 273 w
61 261 w
222 209 w
222 77 w
116 157 w
278 36 w
227 158 w
268 237 w
231 165 w
88 236 w
235 239 w
12 0 w
149 3 w
130 247 w
155 252 w
28 220 w
166 234 w
93 154 w
53 74 w
272 79 w
5 29 w
82 28 w
116 286 w
212 12 w
281 6 w
91 109 w
147 67 w
217 171 w
69 189 w
120 124 w
30 68 w
185 49 w
27 66 w
105 40 w
225 178 w
78 27 w
63 156 w
48 268 w
135 282 w
172 99 w
220 87 w
74 122 w
89 163 w
72 152 w
238 232 w
135 262 w
60 32 w
70 159 w
247 14 w
265 201 w
249 283 w
254 131 w
242 192 w
287 169 w
202 130 w
252 127 w
18 251 w
45 194 w
145 11 w
52 129 w
213 224 w
135 112 w
13 35 w
108 207 w
65 204 w
251 43 w
110 55 w
198 133 w
2 258 w
117 160 w
131 23 w
33 211 w
280 295 w
200 166 w
26 88 w
218 63 w
40 215 w
299 297 w
195 8 w
46 299 w
57 86 w
293 184 w
80 198 w
18 54 w
89 212 w
240 31 w
224 38 w
122 102 w
49 162 w
278 257 w
126 85 w
22 42 w
250 98 w
248 117 w
158 241 w
42 205 w

5 5
4 1
4 3 n
4 2 m
2 1 x
3 1 m
3 0 m

8 15
0 4
1 6 s
7 6 w
0 1 w
3 4 w
3 5 w
7 4 w
1 7 e
1 3 w
7 2 w
7 5 w
6 5 w
0 3 r
3 7 w
6 2 w
5 4 w

10 15
0 1
6 4 v
4 7 v
0 3 x
0 6 w
4 5 v
7 9 v
7 1 v
2 7 v
8 2 i
3 6 s
2 5 v
0 8 v
4 9 v
9 1 v
7 5 v

10 15
4 3
0 6 i
7 2 i
4 1 i
8 6 i
4 9 b
9 7 i
8 2 i
2 3 i
1 7 w
9 0 i
7 0 i
5 8 i
4 7 p
9 5 i
0 8 i

10 20
8 2
8 4 t
4 1 k
8 0 z
0 1 t
7 9 t
4 7 t
3 6 t
6 5 t
8 9 u
4 3 t
6 0 t
8 7 t
1 2 t
1 5 t
9 6 t
8 3 h
4 9 a
9 1 t
4 0 s
9 2 t

20 50
4 17
12 15 t
6 8 t
18 1 t
7 1 t
11 16 r
1 0 t
4 2 t
3 6 t
13 15 t
7 18 t
19 3 t
12 6 t
1 17 t
10 8 t
0 5 t
16 14 t
4 14 k
15 10 t
4 11 t
11 12 a
18 9 t
16 12 t
14 12 t
11 13 o
9 5 t
3 7 t
6 9 t
12 19 t
14 13 t
2 12 t
4 16 j
3 1 t
10 3 t
7 9 t
15 7 t
6 18 t
4 12 k
1 5 t
15 19 t
2 14 t
10 6 t
6 7 t
2 16 t
9 17 t
6 1 t
3 8 t
12 3 t
0 17 t
5 17 t
11 2 t

25 70
6 14
17 22 v
0 12 v
15 3 v
18 17 v
24 18 v
2 24 v
10 14 v
6 12 q
16 5 v
13 19 v
24 23 v
9 5 v
19 20 v
16 18 v
3 23 v
16 10 v
5 14 v
2 3 v
22 11 v
12 15 v
13 20 z
10 11 v
4 12 v
12 24 v
12 16 v
18 22 v
21 0 v
7 12 v
6 20 g
7 4 v
20 0 v
10 17 v
23 18 v
18 10 v
5 11 v
6 21 r
8 19 v
1 7 v
6 19 v
17 11 v
0 15 v
2 23 v
4 15 v
10 5 v
6 0 j
11 14 v
3 16 v
6 13 v
1 0 v
6 8 v
9 11 v
3 24 v
17 9 v
23 17 v
0 7 v
12 2 v
24 16 v
1 12 v
4 24 v
22 5 v
15 2 v
13 7 a
17 5 v
9 14 v
10 9 v
13 21 f
19 1 v
19 0 v
0 4 v
24 10 v

30 100
11 8
5 2 g
12 21 g
11 5 r
6 27 g
26 27 g
26 23 g
17 21 g
3 2 g
19 22 g
27 23 g
19 7 g
1 28 g
13 28 g
11 2 y
10 19 g
10 20 g
16 7 g
19 25 g
3 5 g
6 26 g
17 27 g
6 17 g
29 6 g
20 8 g
14 1 g
12 26 g
16 22 g
24 8 g
29 2 g
12 27 g
15 3 a
13 23 g
22 8 g
14 28 g
6 21 g
3 6 g
11 15 g
25 24 g
2 6 g
27 13 g
17 26 g
21 26 g
25 22 g
4 17 g
29 3 g
17 12 g
22 18 g
29 4 g
13 14 g
28 19 g
22 7 g
1 9 g
7 20 g
25 7 g
11 4 g
20 18 g
28 10 g
10 16 g
6 12 g
4 21 g
17 13 g
0 5 g
18 8 g
15 0 l
20 24 g
9 22 g
23 16 g
2 17 g
9 25 g
18 24 g
11 29 g
5 13 g
26 13 g
16 18 g
5 17 g
23 28 g
4 2 g
0 29 g
16 19 g
11 3 i
23 22 g
4 6 g
26 14 g
0 12 g
19 18 g
11 12 o
7 18 g
4 5 g
0 3 g
4 3 g
0 4 g
13 1 g
21 27 g
14 23 g
22 20 g
29 12 g
16 25 g
11 0 g
23 9 g
9 10 g

35 150
17 26
5 30 m
11 2 m
17 32 c
23 26 m
6 9 m
6 11 m
27 13 m
24 29 m
13 24 m
7 23 m
14 29 m
16 33 m
7 3 m
0 25 m
32 30 m
4 10 m
8 12 m
28 20 m
2 26 m
5 12 m
17 8 m
33 25 m
34 11 m
2 22 m
25 1 m
0 22 m
25 22 m
21 27 m
11 15 m
5 6 m
3 23 m
28 3 m
3 0 m
14 23 m
20 0 m
0 2 m
19 15 m
9 34 m
10 6 m
10 9 m
27 4 m
12 30 m
4 30 m
13 6 m
0 31 m
19 28 m
21 4 t
2 1 m
21 18 y
32 5 m
23 20 m
6 24 m
21 5 m
34 19 m
18 6 m
21 13 q
6 34 m
23 0 m
20 16 m
32 4 m
31 1 m
5 4 m
29 16 m
16 0 m
29 15 m
18 13 m
33 22 m
15 3 m
13 11 m
14 19 m
12 34 m
30 13 m
20 2 m
11 14 m
22 1 m
17 5 b
21 8 m
29 19 m
34 29 m
21 32 m
31 2 m
18 10 m
20 25 m
33 1 m
27 6 m
17 12 w
25 2 m
6 14 m
28 23 m
24 34 m
28 16 m
17 21 m
3 25 m
27 12 m
30 18 m
13 9 m
4 13 m
4 18 m
32 27 m
31 26 m
34 14 m
6 15 m
10 24 m
12 4 m
30 10 m
11 29 m
5 13 m
5 27 m
16 25 m
8 32 m
3 20 m
33 2 m
3 2 m
13 34 m
8 5 m
20 1 m
15 20 m
9 14 m
15 23 m
9 11 m
25 31 m
34 7 m
29 7 m
10 34 m
22 26 m
24 9 m
19 7 m
15 28 m
0 33 m
14 15 m
11 19 m
16 31 m
13 10 m
3 33 m
23 16 m
5 18 m
31 22 m
23 25 m
19 3 m
1 26 m
21 12 k
21 24 o
0 1 m
29 28 m
24 11 m
12 13 m
7 15 m
25 26 m
3 16 m
33 31 m

50 100
25 5
30 17 l
48 10 l
39 16 l
39 13 l
39 36 l
32 10 l
33 47 l
0 47 l
44 41 l
7 31 l
0 41 l
8 45 l
31 23 l
38 49 l
22 43 l
15 8 l
28 10 l
48 39 l
26 20 x
13 15 l
40 27 l
9 11 l
24 40 l
16 14 l
1 3 l
41 47 l
15 45 l
32 36 l
35 28 l
2 23 l
33 0 l
10 16 l
18 22 l
37 44 l
36 8 l
46 11 l
20 37 l
26 11 u
6 24 l
11 1 l
29 42 l
13 45 l
17 40 l
26 46 l
30 38 l
41 35 l
9 20 l
2 34 l
17 49 l
48 28 l
8 31 l
19 28 l
11 4 l
44 35 l
10 39 l
19 48 l
43 30 l
4 3 l
2 6 l
19 10 l
49 27 l
1 4 l
32 39 l
16 13 l
17 38 l
43 34 l
31 42 l
27 5 l
17 12 l
6 21 l
42 23 l
28 39 l
25 26 l
7 29 l
33 44 l
21 27 l
43 21 l
27 12 l
35 48 l
11 20 l
7 2 l
21 38 l
28 32 l
45 29 l
21 30 l
23 24 l
15 7 l
3 33 l
25 11 v
1 33 l
34 17 l
8 7 l
41 48 l
34 6 l
32 13 l
7 18 l
2 22 l
47 28 l
35 19 l
46 9 l

60 150
22 21
19 49 h
8 26 h
53 37 h
10 6 h
37 30 h
30 7 h
46 21 h
54 35 h
32 36 h
0 58 h
2 12 h
25 19 h
49 54 h
18 49 h
19 14 h
28 52 h
4 27 h
38 6 h
1 27 h
54 20 h
59 44 h
17 32 h
28 10 h
30 59 h
43 34 h
36 19 h
36 18 h
35 46 h
2 45 h
44 23 h
16 29 h
22 33 q
11 41 h
1 2 h
29 26 h
57 10 h
25 14 h
30 15 h
35 29 h
51 0 h
33 56 h
44 17 h
35 26 h
54 40 h
22 28 v
53 50 h
31 5 h
37 34 h
17 24 h
13 9 h
52 9 h
18 19 h
39 1 h
1 18 h
13 11 h
13 41 h
17 4 h
49 45 h
55 7 h
47 41 h
35 21 h
52 13 h
47 31 h
27 25 h
38 10 h
40 35 h
58 55 h
17 39 h
26 21 h
11 47 h
29 21 h
12 20 h
53 31 h
42 33 y
46 26 h
56 6 h
41 53 h
50 31 h
51 30 h
55 3 h
12 54 h
34 30 h
0 30 h
20 35 h
7 44 h
31 43 h
15 23 h
47 50 h
45 12 h
28 57 h
8 29 h
5 43 h
28 13 h
8 46 h
3 17 h
45 20 h
18 14 h
48 24 h
19 2 h
15 7 h
58 59 h
1 25 h
28 38 h
16 8 h
20 40 h
0 59 h
48 17 h
24 39 h
14 45 h
14 2 h
54 8 h
32 1 h
12 16 h
32 18 h
33 38 h
4 36 h
56 28 h
30 58 h
10 9 h
12 40 h
23 17 h
34 51 h
16 35 h
36 1 h
56 10 h
27 18 h
50 5 h
43 58 h
6 13 h
5 0 h
7 48 h
35 8 h
59 55 h
23 48 h
49 12 h
25 18 h
24 4 h
58 44 h
40 8 h
31 37 h
24 36 h
22 42 h
48 32 h
5 34 h
45 54 h
33 28 h
10 52 h
53 5 h
33 57 h
33 6 h

80 190
59 13
70 18 a
59 24 g
76 4 f
16 40 i
48 42 a
32 51 k
58 69 z
43 52 n
49 79 g
36 72 c
50 40 g
21 47 k
72 20 t
34 38 a
54 75 w
11 8 h
47 6 a
75 71 d
46 15 f
18 67 z
7 5 d
50 19 g
21 32 k
29 5 d
37 60 e
67 22 g
64 57 g
17 47 t
8 20 n
1 52 n
5 23 s
20 50 g
72 26 c
12 10 s
76 66 f
24 12 a
20 26 g
65 41 l
70 57 a
24 62 g
2 16 g
48 0 f
76 29 f
60 9 l
20 19 g
5 27 h
28 43 n
15 39 e
5 68 u
45 14 u
65 11 a
23 68 h
59 3 i
0 77 u
65 34 a
9 65 f
55 65 l
68 70 j
74 60 q
59 62 j
6 51 k
55 60 a
74 73 c
20 49 g
73 37 t
69 1 z
71 6 k
58 28 n
10 42 s
17 21 s
79 17 g
32 6 k
33 29 f
1 43 n
26 19 g
7 23 d
45 73 f
70 39 j
26 2 g
57 58 p
18 25 l
40 79 g
54 17 g
55 9 n
59 12 o
41 8 u
79 54 l
6 66 g
10 48 i
74 37 c
11 41 i
64 39 g
77 74 l
47 76 y
28 22 g
48 61 u
42 61 a
21 71 k
53 13 y
28 1 n
44 55 e
17 71 t
59 30 a
23 70 f
66 46 d
33 31 d
34 11 a
16 79 g
26 50 g
56 17 l
29 23 d
46 5 d
25 1 z
4 66 d
25 69 z
18 58 z
67 28 d
36 26 g
71 32 c
44 60 e
77 63 u
15 68 y
3 12 o
12 42 j
54 21 t
20 2 g
22 52 g
63 45 j
11 35 w
68 18 g
47 51 x
74 55 l
51 33 f
25 28 n
7 68 g
56 54 l
75 6 g
79 56 g
66 31 d
41 20 f
59 10 t
9 34 y
38 41 a
24 10 b
6 76 h
63 74 n
61 77 u
66 7 g
7 27 o
27 68 e
73 55 c
40 75 g
41 36 l
62 48 j
78 52 z
56 75 l
68 64 g
29 7 d
52 53 n
39 18 g
51 4 f
54 47 t
71 47 g
43 53 n
37 9 n
61 63 u
77 45 s
19 56 g
18 28 g
44 37 t
16 17 g
14 73 c
8 72 x
42 45 t
3 62 m
2 19 g
36 2 l
36 8 k
51 66 i
38 11 a
0 63 m
69 78 z
62 12 f
52 13 g
4 33 d
48 77 l
14 74 c
45 74 h
73 44 t
2 50 g

100 200
36 50
45 81 s
14 12 s
44 66 s
79 30 s
27 73 s
76 45 s
18 59 s
0 95 s
81 56 s
10 25 s
56 71 s
67 85 s
1 83 s
38 54 s
15 62 s
79 81 s
7 76 s
88 67 s
70 68 s
6 94 s
36 39 s
57 66 s
74 55 s
36 38 m
64 85 s
68 47 s
21 72 s
25 60 s
67 64 s
58 50 s
82 1 s
88 85 s
2 13 s
62 95 s
27 83 s
44 57 s
14 93 s
68 17 s
27 48 s
37 33 s
87 90 s
78 80 s
88 24 s
61 6 s
84 37 s
54 37 s
57 75 s
1 35 s
48 83 s
89 88 s
29 72 s
20 29 s
4 0 s
66 65 s
51 38 s
59 31 s
94 32 s
71 89 s
95 60 s
15 4 s
26 41 s
78 2 s
89 41 s
30 56 s
90 77 s
0 86 s
40 31 s
88 96 s
71 69 s
3 93 s
82 42 s
53 59 s
98 46 s
3 14 s
95 10 s
5 94 s
51 84 s
93 79 s
54 33 s
47 58 s
73 83 s
20 22 s
33 4 s
38 33 s
66 70 s
25 6 s
4 23 s
10 60 s
19 8 s
97 54 s
22 17 s
21 58 s
43 0 s
45 79 s
17 21 s
8 3 s
63 75 s
86 10 s
48 19 s
30 91 s
68 29 s
71 11 s
22 29 s
69 88 s
1 77 s
92 2 s
87 19 s
18 16 s
64 18 s
31 99 s
47 21 s
13 82 s
2 27 s
48 1 s
32 92 s
38 37 s
42 48 s
31 44 s
6 5 s
92 27 s
75 70 s
62 23 s
24 64 s
91 69 s
7 14 s
99 44 s
31 63 s
76 14 s
29 17 s
46 74 s
36 51 g
9 57 s
19 7 s
4 61 s
60 98 s
93 12 s
39 28 s
94 46 s
0 25 s
39 97 y
63 20 s
46 32 s
72 50 s
70 20 s
73 1 s
91 71 s
13 42 s
55 80 s
12 79 s
16 53 s
93 52 s
46 55 s
39 38 z
28 51 s
23 43 s
45 93 s
18 40 s
3 52 s
91 11 s
84 15 s
5 78 s
63 22 s
76 3 s
55 2 s
22 34 s
81 91 s
70 65 s
7 8 s
8 76 s
24 67 s
17 58 s
56 11 s
20 68 s
77 7 s
28 38 s
17 47 s
62 43 s
11 26 s
81 30 s
20 34 s
61 86 s
53 9 s
41 24 s
40 53 s
4 43 s
26 89 s
80 73 s
83 87 s
87 49 s
92 13 s
89 96 s
23 0 s
60 46 s
85 53 s
19 77 s
30 71 s
76 93 s
36 28 s
32 2 s
60 5 s

150 200
146 78
106 54 p
79 132 b
143 70 v
60 144 a
38 9 f
149 49 m
29 4 m
12 43 d
136 139 v
118 138 d
6 9 s
104 68 y
27 116 h
94 100 b
48 133 z
77 35 v
95 34 x
146 42 f
91 118 u
141 74 y
15 39 t
6 149 e
126 49 w
36 76 n
95 48 z
87 53 g
145 112 g
69 110 m
121 149 k
98 22 x
108 134 h
104 105 w
58 107 z
43 28 h
25 21 u
134 142 v
8 78 f
54 95 b
47 81 t
81 115 k
131 8 f
74 26 v
32 111 y
77 31 a
67 20 m
116 5 a
90 140 y
25 59 b
2 19 r
115 65 w
107 103 n
96 125 p
14 82 x
31 86 o
121 88 a
119 143 i
80 7 u
4 136 d
73 12 i
9 80 r
16 32 j
93 38 h
117 91 c
111 110 n
96 0 n
5 60 p
54 48 k
53 50 f
88 49 d
120 21 j
36 75 z
144 108 b
41 29 w
146 79 y
144 73 e
146 91 j
146 132 o
49 47 k
132 62 u
70 82 u
73 134 u
112 6 q
146 17 k
5 10 h
120 112 o
82 120 o
134 129 q
21 145 j
140 61 f
18 41 a
120 25 v
99 73 n
91 66 d
